,Hotel Name,Address,Rating (5),Price (2)
277,99 Pancakes,"PB Nagar, South Chennai",4.7,300
278,The Cycle Gap,GA South Chennai,4.0,1700
279,Kurtosh Bistro,"BB Nagar, South Chennai",4.5,700
280,Haven Sampoorna,"SA Complex,Besant Nagar, South Chennai",4.4,1200
281,Superstar Pizza,"PB Nagar, South Chennai",4.2,800
282,Mash Resto Cafe,"CB Nagar, South Chennai",4.3,800
283,Middle Of No Where,WM West Chennai,4.1,1200
284,Writer's Cafe,CT South West Chennai,4.5,800
285,Sandwich Square,"SB Nagar, South Chennai",4.1,600
286,The Great Kabab Factory,"FR Blu GRT Hotel,St. Thomas Mount, West Chennai",4.4,3000
287,Boats,"BB Nagar, South Chennai",4.0,1900
288,Jonah's Bistro,"BB Nagar, South Chennai",4.1,1400
289,Dindigul Thalappakatti,"TB Nagar, South Chennai",4.0,1000
290,A,"AB - Absolute BarbecuesPorur, West Chennai",4.2,1600
291,Atte - Glocal Cafe,"CB Nagar, South Chennai",4.0,500
292,Blu Hickey Bistro,"BR Blu GRT Hotel,St. Thomas Mount, West Chennai",4.4,2000
293,The Cascade,"CB Nagar, South Chennai",4.2,800
294,The Kati Roll Shop,"SB Nagar, South Chennai",4.0,500
295,Dindigul Thalappakatti,TP West Chennai,4.5,700
296,Ministry of Chutneys,"CR Blu GRT Hotel,St. Thomas Mount, West Chennai",4.1,2500
297,The Alcove,"AB Nagar, South Chennai",4.1,1500
298,Cinnamon,"CT Hotel,Meenambakkam, South West Chennai",4.1,2500
299,Samudra,"ST Hotel,Meenambakkam, South West Chennai",4.0,1200
300,TN 72 Cafe,CK South Chennai,4.5,400
301,Pind,PV South West Chennai,4.1,1000
302,Chennai Kulfi,"KA Nagar, North Chennai",4.3,200
303,Waf Bites,BM West Chennai,4.4,300
304,Cafe G,"GH Inn,Thiruvanmiyur, South Chennai",4.1,1800
305,Score - The Sports Bar & Grill,"GH Inn,Thiruvanmiyur, South Chennai",4.4,1800
306,Diff 4,42 South West Chennai,4.1,1900
307,Dindigul Thalappakatti,TM West Chennai,4.1,900
