,Hotel Name,Address,Rating (5),Price (2)
249,Brownie Heaven,HA South Chennai,4.7,800
250,Double Roti,"RA Nagar, North Chennai",4.4,1000
251,Snofield,SG Central Chennai,2.0,300
252,Silver Spoon,"SA Nagar, North Chennai",4.2,1000
253,Palmshore,PE North Chennai,4.1,1000
254,Cake Waves,WV West Chennai,2.5,500
255,Asian Station,"SA Nagar, North Chennai",4.1,1900
256,Fuel Juice And Pasta Bar,BK North Chennai,4.4,500
257,The Dome,"DL Royal Meridien Chennai,St. Thomas Mount, West Chennai",3.7,2000
258,That Waffle Place,PR Central Chennai,4.1,300
259,Creamy Inn,"IA Nagar, North Chennai",4.3,300
260,Kumarakom,KG South Chennai,3.0,800
261,Chai Xpress,XK North Chennai,3.0,300
262,Superstar Pizza,PE North Chennai,4.2,800
263,Palm Jumeira,JR Central Chennai,3.9,1100
264,Writer's Cafe,CA South Chennai,4.5,800
265,Hotel Saravana Bhavan,BM Central Chennai,3.8,600
266,Convo @ C,C2 South Chennai,4.4,900
267,Prive Restaurant,"RV Hotel,Kilpauk, North Chennai",4.3,1200
268,Kebabery,"KA Nagar, North Chennai",3.9,900
269,Prems Graama Bhojanam,BA South Chennai,4.6,300
270,Mozza,"MA Nagar, North Chennai",4.3,1200
271,Southern Chinese,"CA Nagar, North Chennai",4.2,800
272,DIL SE  Rasoi,RK North Chennai,3.9,600
273,Little North,NK North Chennai,4.0,800
274,Bombay Brasserie,"BV 77,Adyar, South Chennai",4.3,1400
275,That Madras Place,PA South Chennai,3.9,800
276,The Cascade,"CR Tower,Anna Nagar, North Chennai",4.2,800
277,Ente Keralam,"KA Nagar, North Chennai",4.3,800
278,The Scoop Bar,"BA Nagar, North Chennai",4.1,600
279,Sigree,"SA Nagar, North Chennai",3.8,1600
280,Pulusu Ruchulu,"RA Nagar, North Chennai",3.9,800
281,Little Italy,"IA Nagar, North Chennai",4.5,1500
282,Dindigul Thalappakatti,"TA Nagar, North Chennai",4.0,700
283,Desi Street,SA Central Chennai,4.1,1000
284,Chai Waale,"WV Plaza,Anna Nagar, North Chennai",5.0,200
285,La Woods Restaurant,"RL Woods Hotel,Royapettah, Central Chennai",3.4,1100
286,Ravi Mehra's Delhi Hotel,HK North Chennai,4.4,1000
287,The Ma,"MM ShopAnna Nagar, North Chennai",3.8,600
288,Dindigul Thalappakatti,"TA Nagar, North Chennai",4.2,700
289,Savoury Sea Shell,"SA Nagar, North Chennai",4.2,1000
290,Murugan Idli Shop,SK North Chennai,4.0,300
291,Dindigul Thalappakatti,"TV Towers,Triplicane, North Chennai",4.7,700
292,Cafe Coffee Day,"DA Nagar, West Chennai",0.0,900
293,Olive And Basil,BA South Chennai,3.7,1000
294,Nei Idly Sambar,SM Central Chennai,3.6,200
295,Slounge,"SL Tree Hotel Shimona,Manapakkam, West Chennai",4.2,1200
296,Juice Forest,"FA Nagar, North Chennai",4.0,300
297,Cafe Arabica,"AA Nagar, North Chennai",4.2,1000
298,Cold Stone Creamery,"CA Nagar, North Chennai",5.0,400
299,P,"PU DA DHABAThe Pride Hotel,Kilpauk, North Chennai",3.3,1300
300,Champions Bar,"BM Inn,Egmore, North Chennai",4.0,1000
301,Bronx,"BH Manhattan,Mylapore, Central Chennai",5.0,1100
302,Subway,"ST Nagar, Central Chennai",0.0,500
303,Subway,"ST Nagar, Central Chennai",0.0,500
304,Haunted,"HA Nagar, North Chennai",3.4,1400
305,Mirchi Express,"EM Inn,Egmore, North Chennai",3.9,800
306,No. 9,"92 Sarovar Portico,Kilpauk, North Chennai",3.6,1200
307,Makers Of Milkshakes,MA South Chennai,3.9,400
308,Citrus Cafe,"CL Tree Hotel Shimona,Manapakkam, West Chennai",3.8,1600
309,The Cycle Gap,"GA Nagar, North Chennai",3.9,1700
310,Toscano,"TV Mall,Anna Nagar, North Chennai",4.4,300
311,Taco Bell,"BV Mall,Anna Nagar, North Chennai",4.3,500
312,Chennai Kulfi,"KA Nagar, North Chennai",3.4,200
313,Monkey Bar,"BA Nagar, North Chennai",4.4,2000
314,Skyloft,"SF - A Radha Hotel,Manapakkam, West Chennai",4.4,1500
315,Dindigul Thalappakatti,TR West Chennai,4.0,700
316,Subway,"SA Nagar, North Chennai",3.0,500
317,Millet Maagic Meal,"MA Nagar, North Chennai",4.6,300
318,Hotel Saravana Bhavan,"BA Nagar, North Chennai",3.6,600
319,Writer's Cafe,"CV Mall,Anna Nagar, North Chennai",4.4,800
320,Spice Bar,BV West Chennai,3.7,1000
321,Parambriym,"PA Nagar, North Chennai",3.9,800
322,Brownie Heaven,"HV Mall,Anna Nagar, North Chennai",4.2,800
323,Cream Centre,"CA Nagar, North Chennai",4.5,1600
324,Hotel Saravana Bhavan,BA South Chennai,3.7,600
325,House of Candy,"CF Vijaya Mall,Vadapalani, West Chennai",0.0,300
326,Murugan Idli Shop,SV West Chennai,0.0,300
